-72.940 -13.595 
840 10.000 0.89386 
394 0.309 -0.16459 
783 0.000 -0.04465 
798 0.000 -0.36947 
911 10.000 1.04867 
197 0.000 -0.05319 
335 0.000 -0.27089 
768 0.000 -0.20896 
277 0.005 -0.05112 
553 0.000 -0.15936 
477 0.000 -0.33422 
628 1.431 -0.15709 
364 1.486 -0.11242 
513 0.000 -0.20910 
952 10.000 0.72142 
916 10.000 0.97680 
635 0.000 -0.37077 
717 0.000 -0.12526 
141 0.953 -0.05113 
606 0.000 -0.36522 
16 0.000 -0.08736 
242 0.000 -0.37929 
137 0.147 0.04102 
804 10.000 1.11204 
156 0.000 -0.16312 
400 10.000 -0.00795 
129 0.000 -0.18680 
108 2.385 0.06418 
998 10.000 0.31874 
218 0.000 -0.07236 
512 0.000 -0.32689 
839 10.000 0.66974 
612 10.000 0.18860 
296 0.000 -0.20826 
637 9.906 -0.01626 
524 9.286 -0.20243 
493 10.000 0.22892 
972 10.000 0.98729 
292 10.000 0.14575 
771 8.276 0.05355 
526 10.000 0.19103 
769 10.000 0.13886 
891 10.000 0.92806 
283 10.000 0.40873 
352 0.870 -0.03098 
807 10.000 1.15367 
919 10.000 1.15126 
69 10.000 0.25727 
949 10.000 0.88758 
525 10.000 0.12114 
86 10.000 0.08461 
192 10.000 0.19953 
663 10.000 0.10542 
890 10.000 0.63501 
348 7.644 -0.06664 
64 10.000 0.21520 
20 10.000 0.23890 
457 10.000 0.31339 
63 10.000 0.05706 
238 8.359 -0.24799 
970 10.000 0.73820 
902 10.000 0.37223 
850 10.000 0.88951 
266 1.796 -0.09238 
539 10.000 0.43168 
375 10.000 0.36681 
760 8.054 0.14261 
667 0.000 -0.08938 
531 5.807 -0.11553 
39 7.600 -0.20782 
437 4.826 -0.04201 
931 10.000 1.25770 
930 10.000 0.87931 
720 10.000 0.18870 
284 0.000 -0.48411 
738 0.000 -0.05492 
639 10.000 0.41513 
354 0.000 -0.16540 
687 0.000 -0.08726 
165 0.000 -0.29521 
440 0.000 -0.38781 
880 10.000 0.60403 
829 10.000 0.91924 
330 6.321 0.19108 
228 10.000 0.41819 
893 10.000 1.34515 
350 1.074 -0.13566 
686 0.000 -0.21610 
956 10.000 1.37477 
588 0.000 -0.26057 
657 1.573 -0.03350 
858 10.000 0.51964 
439 1.544 0.02359 
923 10.000 0.52313 
398 0.310 0.08224 
814 10.000 0.85514 
684 0.000 -0.11051 
910 10.000 1.08006 
482 0.179 0.03472 
215 0.000 -0.18698 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
77  12 3 22 6 28 1 29 7 40 15 43 1 47 8 51 0 63 2 70 10 82 5 83 11 117 11 130 0 153 1 158 1 187 5 188 8 189 13 202 1 203 3 206 3 212 19 224 1 231 3 233 3 248 2 254 9 257 18 258 1 262 16 266 9 280 12 281 16 295 3 327 19 333 4 334 14 337 2 340 17 342 8 346 6 347 19 385 13 395 9 401 3 404 14 406 19 431 10 442 6 449 7 453 12 472 2 485 12 508 8 520 3 529 9 545 19 587 16 593 2 622 15 625 17 628 6 633 7 649 16 656 11 662 5 663 12 693 17 721 15 737 19 745 16 770 5 777 8 780 17 787 18 792 12 
 0.0003 0.0006 0.0006 0.0005 0.0005 0.0005 0.0005 0.0004 0.0004 0.0004 0.0004 0.0004 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 
-71.831 -14.352 
950 10.000 0.88874 
920 10.000 0.84366 
147 10.000 0.18313 
881 10.000 0.80662 
641 10.000 0.35067 
431 10.000 0.22953 
619 7.095 -0.11969 
281 10.000 0.16568 
786 10.000 0.13544 
307 10.000 0.13084 
447 4.974 -0.02256 
226 10.000 0.02305 
187 10.000 0.24280 
276 0.155 -0.09086 
556 10.000 0.35363 
416 10.000 0.09350 
169 10.000 0.07109 
906 10.000 0.83827 
103 0.000 -0.18801 
126 0.000 -0.14749 
495 0.000 -0.14964 
760 10.000 0.18094 
984 10.000 0.84850 
935 10.000 0.86889 
684 10.000 0.18375 
383 9.650 0.29993 
749 0.668 -0.02514 
368 10.000 0.16751 
294 0.000 -0.27183 
232 0.205 -0.06503 
584 10.000 0.09174 
244 1.827 -0.00679 
152 0.000 -0.24557 
732 8.277 -0.05185 
125 0.580 0.02040 
793 0.000 -0.25178 
164 0.000 -0.05088 
745 0.000 -0.16871 
74 0.000 -0.21372 
52 0.217 0.08394 
521 0.000 -0.12258 
176 0.000 -0.20442 
240 10.000 0.38411 
797 0.000 -0.10476 
656 1.840 0.08833 
967 10.000 0.40475 
639 0.000 -0.02997 
759 0.000 -0.20863 
93 0.000 -0.17739 
134 0.000 -0.15731 
520 0.000 -0.33230 
78 0.000 -0.09747 
69 0.000 -0.17189 
204 0.000 -0.07383 
461 0.000 -0.30562 
819 10.000 0.36878 
573 0.000 -0.02906 
755 0.000 -0.07076 
51 1.602 0.07834 
157 9.962 0.00975 
999 10.000 0.36427 
889 10.000 0.27464 
997 10.000 0.39927 
54 10.000 0.17795 
870 10.000 1.25763 
72 0.127 0.03063 
4 10.000 0.07108 
923 10.000 0.64933 
593 0.934 0.12276 
180 0.549 -0.00704 
163 0.713 0.00198 
391 9.479 -0.00690 
913 10.000 0.36328 
359 0.000 -0.08905 
552 10.000 0.32793 
579 10.000 0.04979 
452 10.000 0.12390 
687 10.000 0.09669 
99 9.239 -0.10450 
530 9.619 -0.04612 
757 10.000 0.38289 
304 9.997 -0.01332 
992 10.000 0.61055 
576 10.000 0.31121 
877 10.000 0.58341 
747 8.920 -0.18595 
628 9.785 0.07250 
35 9.940 -0.01053 
833 10.000 0.31987 
925 10.000 0.57336 
873 10.000 0.21485 
831 10.000 0.45833 
979 10.000 1.27908 
743 3.969 0.13230 
903 10.000 0.41986 
983 10.000 0.77174 
666 10.000 0.11235 
497 10.000 0.10527 
830 10.000 0.50811 
888 10.000 0.61108 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
70  4 12 31 6 46 13 51 0 62 3 66 9 69 9 80 10 87 19 103 4 131 18 133 6 142 10 145 7 150 6 158 7 165 8 170 13 174 9 212 8 219 17 243 7 251 5 254 2 290 9 296 18 298 17 307 6 317 12 322 15 326 19 329 8 330 19 333 10 346 16 349 16 358 15 375 5 392 17 414 3 415 6 447 7 487 10 499 14 526 10 528 17 531 0 555 18 567 18 589 4 617 8 627 10 628 18 646 6 664 18 673 12 675 10 676 4 677 4 683 8 696 1 704 16 707 1 713 15 719 14 759 7 763 8 770 18 784 5 786 15 
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-75.832 -13.850 
76 0.000 -0.08307 
649 0.000 -0.23587 
248 0.000 -0.01661 
629 0.000 -0.14920 
229 10.000 0.44940 
700 0.000 -0.08701 
316 10.000 0.35311 
328 0.000 -0.05345 
